"code","name_kor","name_eng","type"
"098120","Micro","Micro Contact Solution Co.,Ltd.","KOSDAQ"
"009520","POSCO","POSCO M-TECH CO.,LTD.","KOSDAQ"
"095570","AJ","AJ Networks Co.,Ltd.","KOSPI"
