"code","name_kor","name_eng","type"
"121850","코이즈","KOYJ.CO.,LTD","KOSDAQ"
"015710","코콤","KOCOM CO., LTD","KOSDAQ"
"052330","코텍","KORTEK CORPORATION","KOSDAQ"
"322780","코퍼스코리아","COPUS KOREA Co., Ltd.","KOSDAQ"
"036420","콘텐트리중앙","ContentreeJoongAng corp.","KOSPI"
"200130","콜마비앤에이치","KolmarBNH Co., Ltd","KOSDAQ GLOBAL"
"031820","콤텍시스템","ComtecSystems","KOSPI"
"294570","쿠콘","coocon Corporation","KOSDAQ"
"192400","쿠쿠홀딩스","Cuckoo Holdings Co.,Ltd","KOSPI"
"284740","쿠쿠홈시스","CUCKOO HOMESYS","KOSPI"
"317690","퀀타매트릭스","QuantaMatrix Incorporated","KOSDAQ"
"365270","큐라클","curacle co., ltd.","KOSDAQ"
"086460","큐러블","Cur","KONEX"
"060280","큐렉소","CUREXO, INC.","KOSDAQ"
"015590","큐로","CURO","KOSPI"
"040350","큐로컴","CUROCOM Co.,Ltd","KOSDAQ"
"051780","큐로홀딩스","CUROHOLDINGS Co., Ltd.","KOSDAQ"
"115180","큐리언트","Qurient Co., Ltd.","KOSDAQ"
"182360","큐브엔터","CUBE ENTERTAINMENT, INC.","KOSDAQ"
"405100","큐알티","Quality Reliability Technology Inc.","KOSDAQ"
"066310","큐에스아이","Q.S.I Co., Ltd.","KOSDAQ"
"136660","큐엠씨","QMC","KONEX"
"016600","큐캐피탈","Q Capital Partners Co., Ltd.","KOSDAQ"
"26490K","크라운제과우","CROWN(1P)","KOSPI"
"264900","크라운제과","CROWN","KOSPI"
"005745","크라운해태홀딩스우","CROWNHAITAI Holdings(1P)","KOSPI"
"005740","크라운해태홀딩스","CROWNHAITAI Holdings","KOSPI"
"259960","크래프톤","KRAFTON","KOSPI"
"096240","크레버스","Creverse","KOSDAQ"
"215570","크로넥스","CRONEX","KONEX"
"043590","크로바하이텍","CLOVER HITECHNOLOGY CO., LTD","KOSDAQ"
"114120","크루셜텍","Crucialtec Co., Ltd.","KOSDAQ"
"110790","크리스에프앤씨","CreaS F&C Co., Ltd.","KOSDAQ"
"083790","크리스탈지노믹스","CrystalGenomics","KOSDAQ"
"045520","크린앤사이언스","Clean & Science Co., Ltd","KOSDAQ"
"036170","클라우드에어","Cloud Air Co.,Ltd.","KOSDAQ"
"214150","클래시스","CLASSYS Inc.","KOSDAQ GLOBAL"
"352770","클리노믹스","Clinomics Inc.","KOSDAQ"
"237880","클리오","CLIO Cosmetics Co., Ltd","KOSDAQ"
"139670","키네마스터","KineMaster Corporation","KOSDAQ"
"020120","키다리스튜디오","KidariStudio","KOSPI"
"413600","키움제6호스팩","Kiwoom No.6 Special Purpose Acquisition Company","KOSDAQ"
"433530","키움제7호스팩","Kiwoom No.7 Special Purpose Acquisition Company","KOSDAQ"
"039490","키움증권","KIWOOM Securities","KOSPI"
"054780","키이스트","KEYEAST Co., Ltd.","KOSDAQ"
"336040","타스컴","TASCOM","KONEX"
"219130","타이거일렉","TigerElec Co.,Ltd.","KOSDAQ"
"346010","타이드","TIDE","KONEX"
"318660","타임기술","TIME Technical Support","KONEX"
"434190","탈로스","Talos","KONEX"
